model,severity,accuracy,ci_lo,ci_hi,empty_rate,n
llama3.1:8b,0.0,0.9111111111111111,0.8666982540967064,0.9417216928542281,0.0,225
llama3.1:8b,0.05,0.9111111111111111,0.8666982540967064,0.9417216928542281,0.0,225
llama3.1:8b,0.1,0.92,0.8770999957314483,0.9487993014238307,0.0,225
llama3.1:8b,0.2,0.8844444444444445,0.8360710892089505,0.9199108071289506,0.0,225
llama3.2:1b,0.0,0.64,0.5754152911736375,0.6998844745447889,0.0,225
llama3.2:1b,0.05,0.5911111111111111,0.5258664609013212,0.6532968786932104,0.0,225
llama3.2:1b,0.1,0.5733333333333334,0.5080095836139463,0.6361950555718962,0.0,225
llama3.2:1b,0.2,0.5733333333333334,0.5080095836139463,0.6361950555718962,0.0,225
llama3.2:3b,0.0,0.8444444444444444,0.7913498315289043,0.8859749888894461,0.0,225
llama3.2:3b,0.05,0.8133333333333334,0.757316904183472,0.8588301905196727,0.0,225
llama3.2:3b,0.1,0.7866666666666666,0.7285599348051756,0.8351491092849354,0.0,225
llama3.2:3b,0.2,0.7511111111111111,0.690718420547469,0.8030732227252639,0.0,225
qwen2.5:14b,0.0,0.9646017699115044,0.9125037991051361,0.9861498214486251,0.0,113
qwen2.5:14b,0.05,0.9469026548672567,0.8889787873352814,0.9754404095783368,0.0,113
qwen2.5:14b,0.1,0.9469026548672567,0.8889787873352814,0.9754404095783368,0.0,113
qwen2.5:14b,0.2,0.9380530973451328,0.8776301597761643,0.969671825317382,0.0,113
